Kansanedustaja,Henkilökohtainen syy,Muu poissaolo,Yhteensä
Pauli Aalto-Setälä,6,18,24
Anders Adlercreutz,4,17,21
Pekka Aittakumpu,36,6,42
Alviina Alametsä,127,8,135
Li Andersson,8,20,28
Otto Andersson,35,6,41
Sanna Antikainen,33,10,43
Marko Asell,21,0,21
Kim Berg,8,7,15
Miko Bergbom,4,0,4
Sandra Bergqvist,20,46,66
Eva Biaudet,36,1,37
Maaret Castrén,0,17,17
Fatim Diarra,23,16,39
Juho Eerola,8,1,9
Markku Eestilä,21,14,35
Tiina Elo,3,5,8
Ritva Elomaa,1,1,2
Eeva-Johanna Eloranta,26,16,42
Seppo Eskelinen,34,6,40
Sari Essayah,21,3,24
Noora Fagerström,4,9,13
Tarja Filatov,4,4,8
Bella Forsgrén,54,22,76
Timo Furuholm,9,2,11
Kaisa Garedew,2,4,6
Elisa Gebhard,76,5,81
Sanni Grahn-Laasonen,10,5,15
Maria Guzenina,11,14,25
Tuula Haatainen,15,1,16
Pekka Haavisto,9,29,38
Lotta Hamari,19,6,25
Timo Harakka,2,3,5
Atte Harjanne,71,6,77
Harry Harkimo,5,22,27
Janne Heikkinen,76,2,78
Timo Heinonen,0,2,2
Eveliina Heinäluoma,8,77,85
Anna-Maja Henriksson,10,7,17
Pia Hiltunen,5,0,5
Hanna Holopainen,18,11,29
Veronika Honkasalo,2,2,4
Petri Honkonen,21,23,44
Inka Hopsu,9,12,21
Hannu Hoskonen,13,10,23
Laura Huhtasaari,26,46,72
Petri Huru,3,2,5
Hanna Huttunen,11,7,18
Saara Hyrkkö,97,7,104
Antti Häkkänen,1,10,11
Juha Hänninen,8,0,8
Anna-Kaisa Ikonen,0,18,18
Tomi Immonen,6,1,7
Christoffer Ingo,2,3,5
Jessi Jokelainen,87,3,90
Janne Jukkola,6,6,12
Vilhelm Junnila,9,9,18
Kaisa Juuso,60,9,69
Arja Juvonen,10,2,12
Aleksi Jäntti,1,6,7
Riitta Kaarisalo,37,4,41
Antti Kaikkonen,13,11,24
Atte Kaleva,35,28,63
Eeva Kalli,4,7,11
Vesa Kallio,40,8,48
Anne Kalmari,9,5,14
Antti Kangas,30,24,54
Mika Kari,56,8,64
Anette Karlsson,7,0,7
Pia Kauma,0,3,3
Ville Kaunisto,11,8,19
Mari Kaunistola,13,9,22
Hilkka Kemppi,95,0,95
Pihla Keto-Huovinen,19,8,27
Tuomas Kettunen,14,13,27
Kimmo Kiljunen,44,3,47
Marko Kilpi,2,9,11
Teemu Kinnari,5,1,6
Krista Kiuru,12,8,20
Pauli Kiuru,6,1,7
Mai Kivelä,5,0,5
Jani Kokko,39,10,49
Mauri Kontu,1,7,8
Anna Kontula,17,5,22
Ari Koponen,0,13,13
Jukka Kopra,6,20,26
Jari Koskela,18,2,20
Minja Koskela,23,2,25
Johannes Koskinen,1,1,2
Hanna Kosonen,12,44,56
Terhi Koulumies,27,1,28
Katri Kulmuni,33,1,34
Miapetra Kumpula-Natri,8,15,23
Antti Kurvinen,13,22,35
Johan Kvarnström,25,3,28
Merja Kyllönen,38,13,51
Suna Kymäläinen,49,25,74
Sheikki Laakso,19,4,23
Milla Lahdenperä,13,7,20
Mia Laiho,6,5,11
Hanna Laine-Nousimaa,4,0,4
Rami Lehtinen,0,2,2
Jarno Limnell,3,37,40
Jarmo Lindberg,15,14,29
Antti Lindtman,7,13,20
Aki Lindén,24,4,28
Mika Lintilä,5,8,13
Markus Lohi,5,25,30
Pia Lohikoski,6,6,12
Mikko Lundén,2,0,2
Lauri Lyly,0,2,2
Mats Löfström,25,3,28
Niina Malm,57,13,70
Sanna Marin,0,2,2
Helena Marttila,1,5,6
Matias Marttinen,7,6,13
Hanna-Leena Mattila,7,14,21
Timo Mehtälä,27,0,27
Leena Meri,36,13,49
Laura Meriluoto,69,7,76
Ville Merinen,21,15,36
Anna-Kristiina Mikkonen,100,2,102
Krista Mikkonen,12,15,27
Sari Multala,7,15,22
Kai Mykkänen,2,6,8
Juha Mäenpää,6,9,15
Riitta Mäkinen,37,4,41
Matias Mäkynen,56,16,72
Veijo Niemi,8,0,8
Mira Nieminen,0,6,6
Saku Nikkanen,6,0,6
Anders Norrback,2,12,14
Ilmari Nurminen,5,18,23
Maria Ohisalo,4,6,10
Olga Oinas-Panuma,8,16,24
Johanna Ojala-Niemelä,12,36,48
Mikko Ollikainen,16,2,18
Petteri Orpo,1,15,16
Jouni Ovaska,22,10,32
Martin Paasi,7,6,13
Karoliina Partanen,18,11,29
Aino-Kaisa Pekonen,51,11,62
Mauri Peltokangas,11,12,23
Eemeli Peltonen,19,7,26
Pinja Perholehto,14,6,20
Jorma Piisinen,11,2,13
Jenni Pitko,88,13,101
Mikko Polvinen,6,1,7
Mika Poutala,5,8,13
Sakari Puisto,2,0,2
Riikka Purra,5,3,8
Susanne Päivärinta,20,7,27
Lulu Ranne,8,21,29
Mari Rantanen,45,20,65
Piritta Rantanen,15,15,30
Merja Rasinkangas,1,2,3
Nasima Razmyar,12,9,21
Minna Reijonen,5,4,9
Mika Riipi,7,8,15
Anne Rintamäki,12,0,12
Paula Risikko,8,2,10
Jari Ronkainen,13,9,22
Onni Rostila,23,3,26
Wille Rydman,8,4,12
Hanna Räsänen,11,7,18
Joona Räsänen,19,8,27
Päivi Räsänen,1,3,4
Annika Saarikko,108,33,141
Aura Salla,18,7,25
Tere Sammallahti,40,2,42
Jussi Saramo,4,0,4
Hanna Sarkkinen,106,10,116
Sari Sarkomaa,31,0,31
Arto Satonen,7,4,11
Mikko Savola,16,23,39
Sara Seppänen,11,1,12
Pia Sillanpää,4,1,5
Jenna Simula,6,0,6
Markku Siponen,23,15,38
Saara-Sofia Sirén,20,5,25
Ville Skinnari,10,10,20
Joakim Strand,12,31,43
Jaana Strandman,6,3,9
Timo Suhonen,8,1,9
Mari-Leena Talvitie,6,28,34
Sari Tanus,37,25,62
Ville Tavio,10,5,15
Pekka Toveri,0,29,29
Tytti Tuppurainen,5,1,6
Oras Tynkkynen,14,4,18
Sebastian Tynkkynen,1,6,7
Ville Valkonen,29,6,35
Oskari Valtola,2,16,18
Elina Valtonen,3,8,11
Heikki Vestman,16,0,16
Joakim Vigelius,3,0,3
Juha Viitala,8,0,8
Pia Viitanen,6,6,12
Sofia Vikman,27,1,28
Eerikki Viljanen,20,12,32
Sofia Virta,42,26,68
Timo Vornanen,13,2,15
Henrik Vuornos,6,21,27
Ville Vähämäki,19,13,32
Ville Väyrynen,15,2,17
Tuula Väätäinen,33,6,39
Sinuhe Wallinheimo,6,1,7
Paula Werning,19,5,24
Henrik Wickström,5,0,5
Johannes Yrttiaho,6,1,7
Ben Zyskowicz,63,2,65
Peter Östman,7,1,8